Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,41.4,70.4,90.7,5.9,27.8,34,9.4,69.5,21.3
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,0,0,0,0,0,0,0,0,0
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,52,80.2,88.6,14.2,41.3,37.9,11,68.6,19.6
2010-2014,45.4,77.5,84.5,16.5,37.8,34.8,13.9,63.5,22.6
2010-2014,100,100,100,100,100,100,100,100,100
