Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,31.6,88.4,6.6,39.1,60.7,15.9,4.8,90.4,23.7
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,29.2,86.9,3.9,40.4,68.8,12.7,4.9,92.5,32.7
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,48.7,91.4,10.6,57.1,77.4,15.6,6.1,93.6,34.9
2010-2014,33.6,82.5,13.8,46.7,70.3,12.2,4.4,87,30.4
2010-2014,100,100,100,100,100,100,100,100,100
