Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,36.4,66.1,35.9,26.4,52.9,29.2,21.4,80.7,39.7
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,0,0,0,0,0,0,0,0,0
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,49.3,72.3,48.6,43.1,63.6,38.8,21,91.7,53.6
2010-2014,50.3,65.9,59.1,39.8,65,28.2,15.2,86.3,49.2
2010-2014,100,100,100,100,100,100,100,100,100
