Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,41,92.3,9.9,33.5,51.5,12.3,11.6,88.3,5.4
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,0,0,0,0,0,0,0,0,0
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,64.2,85.1,26,39.6,77.6,15.8,9.3,74.6,6.8
2010-2014,59.6,80.9,17.9,29.5,73.5,12.6,12.1,66.7,5.9
2010-2014,100,100,100,100,100,100,100,100,100
