Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,24.2,77.5,62.7,18.6,20.8,50.1,51.6,63,15.6
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,33.5,78.9,59.3,22.9,38.6,61,55.6,72.6,50.3
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,17.5,73.3,54.2,12.8,27.5,53.9,45,66.2,59.8
2010-2014,23.4,71.3,16.5,16.7,33.3,52.3,42.1,67.6,38.6
2010-2014,100,100,100,100,100,100,100,100,100
