Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,41.5,69,37.8,26.5,45.2,37.6,53.9,75,36
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,45.4,71.9,60.8,30,61.1,32,52.1,79.5,39
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,40.2,72.2,61.7,31.7,53.8,28.3,50.6,78.3,37.6
2010-2014,35.7,65.2,66.4,30.5,53.6,27.9,43.1,71.8,32.7
2010-2014,100,100,100,100,100,100,100,100,100
