Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,28.8,48.2,71.6,10.8,37.4,69.9,36,51.6,22.5
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,46.4,67.6,84.9,28.1,56.2,55.7,46.6,63.2,36.6
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,40.7,68,81.3,25.4,66.9,55.9,41.3,55.8,34.2
2010-2014,84.7,90.5,94.6,69.2,89.9,89.9,83.1,89.3,81.1
2010-2014,100,100,100,100,100,100,100,100,100
