Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,41.4,62.3,84,8.5,29.8,34.9,15,59.7,17.5
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,0,0,0,0,0,0,0,0,0
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,0,0,0,0,0,0,0,0,0
2010-2014,35.1,80.6,87.6,12.1,38.6,33.8,14.4,60.7,13.9
2010-2014,100,100,100,100,100,100,100,100,100
