Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,28.6,57.9,57.8,9.7,51.1,44.2,62.7,47.6,30.6
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,37,64.7,74,13.6,65.7,44.4,59.3,60.1,39.4
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,0,0,0,0,0,0,0,0,0
2010-2014,29.9,67.2,69.5,14,65,40.8,59.8,62.3,31.8
2010-2014,100,100,100,100,100,100,100,100,100
