Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,63,82.7,63.6,39.5,50.8,13.7,57.9,72.1,23
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,0,0,0,0,0,0,0,0,0
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,30.3,68.8,83.3,18.1,29.1,17.5,62.8,58.6,23.2
2010-2014,29.9,70.4,77.3,32.7,42.2,13,51.7,65.2,12.6
2010-2014,100,100,100,100,100,100,100,100,100
