Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,49,77.1,87.1,8.6,53.8,27,5,59.6,16.8
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,0,0,0,0,0,0,0,0,0
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,0,0,0,0,0,0,0,0,0
2010-2014,69.4,88.4,87.5,36.8,54.5,62.7,18.8,84.5,42.5
2010-2014,100,100,100,100,100,100,100,100,100
