Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,44.3,63.6,92,7.5,38.4,20.3,16.1,46.4,44.7
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,0,0,0,0,0,0,0,0,0
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,56.1,73.5,87,17.3,46.1,24.7,18.2,53,49.6
2010-2014,0,0,0,0,0,0,0,0,0
2010-2014,100,100,100,100,100,100,100,100,100
