Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,0,0,0,0,0,0,0,0,0
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,0,0,0,0,0,0,0,0,0
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,43.3,44.3,79.1,17.1,37.2,81.7,72.6,70.7,33.1
2010-2014,45.9,34.9,85.5,12,28.8,73.8,70.6,66.1,24.6
2010-2014,100,100,100,100,100,100,100,100,100
