Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,29.7,48.8,58.5,10.6,31.2,49.9,61.1,70,22.4
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,41.9,59.2,75.3,20,62.5,51.9,61.4,74.1,29.2
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,32.9,54.8,70.7,15.6,58.8,46.8,56.2,77.9,30.6
2010-2014,35.3,57.4,70.2,28.1,63.5,37.2,44.3,52.5,27.8
2010-2014,100,100,100,100,100,100,100,100,100
