Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,28.5,79.6,55.5,25.8,42.4,31.6,34.7,73.6,16.4
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,22.2,76.6,56.8,23.5,36.3,37.1,43.5,70.4,12.7
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,23.5,72.1,57.7,25.2,44,44.6,25.6,71.5,8.7
2010-2014,25.1,57.3,40.6,31.4,44.1,35.3,23.2,58.2,42.3
2010-2014,100,100,100,100,100,100,100,100,100
