Wave,Determination perseverance,Feeling of responsibility,Hard work,Imagination,Independence,Obedience,Religious faith,Tolerance and respect for other people,Unselfishness
1995-1999,0,0,0,0,0,0,0,0,0
1995-1999,0,0,0,0,0,0,0,0,0
2000-2004,0,0,0,0,0,0,0,0,0
2000-2004,0,0,0,0,0,0,0,0,0
2005-2009,0,0,0,0,0,0,0,0,0
2005-2009,44.4,77.8,45.6,17.6,46.7,49.8,42.2,70.4,43.5
2010-2014,41,80.7,40.8,23.4,43.1,37.2,37.4,69.7,36
2010-2014,100,100,100,100,100,100,100,100,100
